id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21424924,Bonito y acogedor Departamento,66756406,Ana,,Cuauhtémoc,19.41118,-99.15974,Entire home/apt,696,3,78,2021-05-27,1.63,2,351,9,
21427181,Habitación de lujo con cama matrimonial y sofácama,150500008,Rosa Maria,,Benito Juárez,19.36861,-99.18362,Private room,700,1,70,2018-03-19,1.43,5,171,0,
21438651,Miyana: Avant Garde,72969330,The Local Way,,Miguel Hidalgo,19.43907,-99.20044,Entire home/apt,3552,1,28,2021-08-17,0.58,17,345,6,
21439606,"Estudio en el corazón de la Juárez
Puerta azul",6415281,Julia,,Cuauhtémoc,19.42603,-99.15422,Entire home/apt,747,3,88,2021-08-11,1.81,6,342,5,
21448030,Sunny 2 bedroom apartment San Angel_Guadalupe Inn,105070007,Monik,,Álvaro Obregón,19.36134,-99.18816,Entire home/apt,1349,1,7,2018-11-04,0.19,10,90,1,
21448160,Lovely Studio San Angel,105070007,Monik,,Álvaro Obregón,19.36114,-99.18853,Entire home/apt,1148,1,1,2018-03-02,0.02,10,365,0,
21448651,Cozy studio Caracol 5,105070007,Monik,,Álvaro Obregón,19.36034,-99.1892,Entire home/apt,1299,1,2,2019-11-18,0.05,10,365,0,
21448815,Unique two storey loft Caracol 9,105070007,Monik,,Álvaro Obregón,19.36114,-99.18853,Entire home/apt,1399,2,6,2019-11-17,0.13,10,365,0,
21451591,Colchoneta dentro de nuestra sala BAÑO COMPARTIDO,39532020,Shannthall,,Venustiano Carranza,19.40829,-99.10902,Shared room,350,2,6,2020-03-16,0.13,6,343,0,
21456490,City Santa Fe Torre Barcelona Apartment 906,42700394,Hugo Brauer,,Cuajimalpa de Morelos,19.35917,-99.27045,Entire home/apt,5279,4,2,2018-01-20,0.04,25,217,0,
21461366,El Vergel del Sur,128481232,Víctor Hugo,,Coyoacán,19.30426,-99.1474,Private room,300,1,0,,,1,88,0,
21462232,Departamento de lujo en la zona Financiera a dos cuadras de Reforma,67379250,Bertha,,Cuauhtémoc,19.42938,-99.16993,Entire home/apt,1413,1,2,2018-08-24,0.10,1,141,0,
21462902,Casa Tamayo | Habitación Privada | Coyoacán · CDMX,154108889,Alejandro,,Coyoacán,19.34835,-99.16737,Private room,1189,1,1,2017-12-18,0.02,4,232,0,
21467600,"CASA EN SAN JERONIMO, CDMX.(1)",27624132,Williams,,La Magdalena Contreras,19.3056,-99.243,Entire home/apt,1386,1,63,2018-07-19,1.29,2,300,0,
21468927,HUGE LUXURY APARTMENT REFORMA 3 BEDR GREAT VIEWS!,155900425,Noemi,,Cuauhtémoc,19.43512,-99.15209,Entire home/apt,3008,3,50,2021-07-05,1.37,1,74,1,
21475347,Perfect for 8 People Group in Condesa,4448934,John,,Miguel Hidalgo,19.41376,-99.18117,Entire home/apt,2715,4,5,2019-02-18,0.10,33,353,0,
21475442,Habitación Privada en Coyoacán,153155869,Carlos,,Coyoacán,19.34473,-99.17283,Private room,390,1,67,2019-07-07,1.40,1,118,0,
21485032,Beautiful and Cozy Bedroom in Roma Norte,63511026,María Emilia,,Cuauhtémoc,19.41492,-99.15995,Private room,382,15,3,2017-12-13,0.06,1,362,0,
21485938,"Great room! private bathroom, Roma Norte",17797820,Ofelia,,Cuauhtémoc,19.42105,-99.16984,Private room,330,1,65,2019-06-25,1.34,1,363,0,
21486205,Disfruta la CDMX en depa cómodo y céntrico,156070104,Patricia,,Benito Juárez,19.38129,-99.18161,Entire home/apt,686,1,59,2019-03-21,1.23,1,299,10,
21486208,House near to Reforma avenue,156071332,Lus,,Cuauhtémoc,19.4252,-99.16893,Private room,453,1,152,2021-09-19,3.17,1,27,42,
21487078,"De luxe bedroom in the heart of Condesa,",98685240,Horacio,,Cuauhtémoc,19.41399,-99.17149,Private room,800,4,69,2021-09-04,1.42,2,309,7,
21488512,Excelente Departamento Roma/Condesa,122412264,Maria,,Cuauhtémoc,19.41318,-99.16572,Entire home/apt,1615,1,165,2020-03-10,3.41,1,1,0,
21488661,Big & Comfortable Apartment in Chapultepec-Condesa,202157125,Lupita,,Miguel Hidalgo,19.40951,-99.18698,Entire home/apt,900,2,73,2021-10-09,1.54,1,209,13,
21489554,Renaissance Room in Coyoacan,2173390,Natalia,,Coyoacán,19.34353,-99.16139,Private room,242,2,7,2018-09-25,0.15,1,363,0,
21490945,The Style and Comfort in the Heart of Mexico city.,135122543,Guadalupe,,Cuauhtémoc,19.42552,-99.15843,Entire home/apt,1200,1,167,2021-05-09,3.66,5,329,7,
21491583,Nice apartment in CDMX South (Mixcoac),105464386,Enrique,,Benito Juárez,19.37873,-99.18607,Entire home/apt,1200,2,24,2019-03-17,0.50,1,71,0,
21498978,El Girasol,815705,Luis,,Miguel Hidalgo,19.43307,-99.18647,Entire home/apt,1373,2,66,2021-10-10,3.38,9,48,38,
21502349,Very comfy Studio,2281290,Suites,,Benito Juárez,19.40083,-99.15524,Entire home/apt,415,1,66,2020-03-02,1.65,46,166,28,
21502423,Excellent apt with kitchennette private bath,2281290,Suites,,Benito Juárez,19.40016,-99.15598,Entire home/apt,444,1,68,2020-01-11,1.40,46,355,11,
21503313,Apartamento Precioso y Nuevo. Impecable. Llegada autónoma. Junto a Torre Manacar,32793115,Begona,,Benito Juárez,19.36919,-99.18134,Entire home/apt,1109,2,120,2021-10-09,2.51,1,311,31,
21505191,"#602 Private Terrace, A/C  & Rooftop Downtown CDMX",90850835,Jack Y Alice,,Cuauhtémoc,19.42883,-99.1348,Entire home/apt,919,1,156,2021-09-11,3.32,5,323,33,
21512427,Alto Polanco,3835046,Alex,,Miguel Hidalgo,19.44063,-99.18345,Private room,1200,3,2,2018-05-20,0.04,1,0,0,
21512492,Daydream in Condesa Art by J Guillan G2,4448934,John,,Cuauhtémoc,19.41278,-99.18027,Entire home/apt,1506,1,22,2021-05-28,0.45,33,312,7,
